relatorio

--------------------------------
    Silvio / Franklin
    (750cm - 180s)
--------------------------------

     TOTAL: 3701
     Tempo: 180650ms (-0s)
    Quedas: 6
    Golpes: 286
     Ritmo: 45/45

    Silvio: 5500
 [  58  52  47  39  38  36  36 ] => 43
 [  71  71  69  69  67  67  67 ] => 68

  Franklin: 4427
 [  56  52  50  43  42  42  40 ] => 46
 [  65  64  64  62  61  60  60 ] => 62

-- Sequencia  1 ----------------
    ****
             500    (54 / 2916)
    1270            (21 /  441)
             860    (31 /  961)
     670            (40 / 1600)
             460    (58 / 3364)
     600            (45 / 2025)
             630    (42 / 1764)
    1030            (26 /  676)
             700 !  (38 / 1444)
     780            (34 / 1156)
             550    (49 / 2401)
     660            (40 / 1600)
             500    (54 / 2916)
     600            (45 / 2025)
             530    (50 / 2500)
     650            (41 / 1681)
             450    (60 / 3600)
     780            (34 / 1156)
             530    (50 / 2500)
     650            (41 / 1681)
             450    (60 / 3600)
     660            (40 / 1600)
             450    (60 / 3600)
     700            (38 / 1444)
             490    (55 / 3025)
     760            (35 / 1225)
             690    (39 / 1521)
     680            (39 / 1521)
             430    (62 / 3844)
     700            (38 / 1444)
             580    (46 / 2116)
     680            (39 / 1521)
             520    (51 / 2601)
     610            (44 / 1936)
             430    (62 / 3844)
     700            (38 / 1444)
             470    (57 / 3249)
     730            (36 / 1296)
             640    (42 / 1764)
     620            (43 / 1849)
             550    (49 / 2401)
     650            (41 / 1681)
             460    (58 / 3364)
     710            (38 / 1444)
             650    (41 / 1681)
     690            (39 / 1521)
             460    (58 / 3364)
     610            (44 / 1936)
             450    (60 / 3600)
     910            (29 /  841)
             390    (69 / 4761)
     660            (40 / 1600)
             580    (46 / 2116)
     670            (40 / 1600)
             570    (47 / 2209)
     720            (37 / 1369)
             400    (67 / 4489)
     620            (43 / 1849)
             550    (49 / 2401)
     640            (42 / 1764)
             400    (67 / 4489)
     610            (44 / 1936)
             390    (69 / 4761)
     640            (42 / 1764)
             380    (71 / 5041)
     720            (37 / 1369)
             420    (64 / 4096)
     590            (45 / 2025)
             450    (60 / 3600)
     590            (45 / 2025)
             400    (67 / 4489)
     590            (45 / 2025)
             610    (44 / 1936)
     590            (45 / 2025)
             380    (71 / 5041)
     650            (41 / 1681)
             420    (64 / 4096)
     600            (45 / 2025)
             560    (48 / 2304)
     730            (36 / 1296)
             750 !  (36 / 1296)
     840            (32 / 1024)
             430    (62 / 3844)
     620            (43 / 1849)
             600    (45 / 2025)
     650            (41 / 1681)
             460    (58 / 3364)
     670            (40 / 1600)
             510    (52 / 2704)
     860            (31 /  961)
             800    (33 / 1089)
  !  640            (42 / 1764)
             580    (46 / 2116)
     640            (42 / 1764)
             850    (31 /  961)
     450            (60 / 3600)
             750    (36 / 1296)
     510            (52 / 2704)
             710    (38 / 1444)
     420            (64 / 4096)
            1270    (21 /  441)
     500            (54 / 2916)
             910    (29 /  841)
     510            (52 / 2704)
             720    (37 / 1369)
     480            (56 / 3136)
             670    (40 / 1600)
     510            (52 / 2704)
             990    (27 /  729)
     520            (51 / 2601)
             950    (28 /  784)
     480            (56 / 3136)
             990    (27 /  729)
     450            (60 / 3600)
             680    (39 / 1521)
  !  480            (56 / 3136)
            1070    (25 /  625)
  !  770            (35 / 1225)
            1090
   -----   -----
    1525    1092

-- Sequencia  2 ----------------
    ****
             450    (60 / 3600)
     630            (42 / 1764)
             540    (50 / 2500)
     600            (45 / 2025)
             450    (60 / 3600)
     630            (42 / 1764)
             450    (60 / 3600)
     580            (46 / 2116)
             610    (44 / 1936)
     680            (39 / 1521)
             690 !  (39 / 1521)
     700            (38 / 1444)
             410    (65 / 4225)
     660            (40 / 1600)
             480    (56 / 3136)
     650            (41 / 1681)
             530    (50 / 2500)
     640            (42 / 1764)
             400    (67 / 4489)
     580            (46 / 2116)
             520    (51 / 2601)
     630            (42 / 1764)
             430    (62 / 3844)
     610            (44 / 1936)
             540    (50 / 2500)
     620            (43 / 1849)
             470    (57 / 3249)
     850            (31 /  961)
             550    (49 / 2401)
     830            (32 / 1024)
             700    (38 / 1444)
     770            (35 / 1225)
             560    (48 / 2304)
     860            (31 /  961)
             440    (61 / 3721)
     610            (44 / 1936)
             440    (61 / 3721)
     610            (44 / 1936)
             460    (58 / 3364)
     560            (48 / 2304)
             560    (48 / 2304)
     600            (45 / 2025)
             460    (58 / 3364)
     660            (40 / 1600)
             680    (39 / 1521)
     700            (38 / 1444)
             590    (45 / 2025)
     640            (42 / 1764)
             570    (47 / 2209)
     670            (40 / 1600)
             450    (60 / 3600)
     780            (34 / 1156)
             710    (38 / 1444)
     540            (50 / 2500)
             700    (38 / 1444)
     470            (57 / 3249)
             720    (37 / 1369)
  !  660            (40 / 1600)
             720    (37 / 1369)
  !  630            (42 / 1764)
             730    (36 / 1296)
     460            (58 / 3364)
             960    (28 /  784)
     440            (61 / 3721)
             660    (40 / 1600)
     550            (49 / 2401)
             800    (33 / 1089)
     420            (64 / 4096)
             770    (35 / 1225)
     410            (65 / 4225)
             770    (35 / 1225)
     690            (39 / 1521)
             750    (36 / 1296)
  !  720            (37 / 1369)
             830    (32 / 1024)
     690
   -----   -----
    2429    1823

-- Sequencia  3 ----------------
    ****
             750    (36 / 1296)
     650            (41 / 1681)
             490    (55 / 3025)
     650            (41 / 1681)
             520    (51 / 2601)
     630            (42 / 1764)
             430    (62 / 3844)
     650            (41 / 1681)
             410    (65 / 4225)
     610            (44 / 1936)
             430    (62 / 3844)
     590            (45 / 2025)
             580    (46 / 2116)
     700            (38 / 1444)
             400    (67 / 4489)
     640            (42 / 1764)
             410    (65 / 4225)
     620            (43 / 1849)
             540    (50 / 2500)
     720            (37 / 1369)
             560    (48 / 2304)
     640            (42 / 1764)
             590    (45 / 2025)
     670            (40 / 1600)
             430    (62 / 3844)
     680            (39 / 1521)
             540    (50 / 2500)
     630            (42 / 1764)
             450    (60 / 3600)
     610            (44 / 1936)
             460    (58 / 3364)
     610            (44 / 1936)
             460    (58 / 3364)
     650            (41 / 1681)
             640    (42 / 1764)
     700            (38 / 1444)
             430    (62 / 3844)
     580            (46 / 2116)
             480    (56 / 3136)
     650            (41 / 1681)
             490    (55 / 3025)
     650            (41 / 1681)
             720    (37 / 1369)
     740            (36 / 1296)
             560    (48 / 2304)
     620            (43 / 1849)
             530    (50 / 2500)
     540            (50 / 2500)
             770    (35 / 1225)
  !  540            (50 / 2500)
             670    (40 / 1600)
     470            (57 / 3249)
             940    (28 /  784)
     610            (44 / 1936)
            1100    (24 /  576)
  !  620            (43 / 1849)
             730    (36 / 1296)
  !  510            (52 / 2704)
             750    (36 / 1296)
     470
   -----   -----
    3208    2365

-- Sequencia  4 ----------------
    ****
             530    (50 / 2500)
     630            (42 / 1764)
             480    (56 / 3136)
     640            (42 / 1764)
             640
   -----   -----
    3265    2401

-- Sequencia  5 ----------------
    ****
             480    (56 / 3136)
     600            (45 / 2025)
             430    (62 / 3844)
     660            (40 / 1600)
             400    (67 / 4489)
     710            (38 / 1444)
             510    (52 / 2704)
     670            (40 / 1600)
             730 !  (36 / 1296)
     670            (40 / 1600)
             620    (43 / 1849)
     570            (47 / 2209)
             510 !  (52 / 2704)
     600            (45 / 2025)
             460 !  (58 / 3364)
     650            (41 / 1681)
             570 !  (47 / 2209)
     670            (40 / 1600)
             490    (55 / 3025)
     720            (37 / 1369)
             510    (52 / 2704)
     890            (30 / 900)
            180 
   -----   -----
    3578    2581

-- Sequencia  6 ----------------
            ****
     450            (60 / 3600)
             790
   -----   -----
    3578    2617

-- Sequencia  7 ----------------
            ****
     560            (48 / 2304)
             660    (40 / 1600)
     490            (55 / 3025)
             820    (32 / 1024)
     430            (62 / 3844)
             610    (44 / 1936)
     620            (43 / 1849)
             680
   -----   -----
    3623    2727


--------------------------------

    Atleta    Vol     Esq     Dir   Total
    Silvio:  3623 +   553 +  1322 =  5500
  Franklin:  2727 +   612 +  1087 =  4427

Media:       4964
Equilibrio:    94 (-)
Quedas:      1169 (-)
FINAL:       3701
